# INFORMACIÓN DE PELÍCULAS OBTENIDA MANUALMENTE VÍA GEMINI
# ================================================================
#
# PROCESO MANUAL UTILIZADO:
# 1. Se tomó la lista de películas únicas del archivo "nombres_unicos_prioritarios.txt"
#    (ordenada de más falta de información a menor falta de información)
# 2. Se copió y pegó la lista completa en Google Gemini
# 3. Se solicitó a Gemini que completara la información faltante (DIRECTOR y ACTOR_PRINCIPAL)
#    para cada película en la medida de lo posible
#
# AUTOMATIZACIÓN FUTURA:
# Este proceso manual se puede automatizar en posteriores pasos mediante:
# - Integración con la API de Google Gemini
# - Uso de credenciales de cuenta individual de cada usuario
# - Implementación de consultas automáticas por lotes
# - Validación y limpieza automática de respuestas
#
# FORMATO ESPERADO:
# Cada línea debe seguir el formato:
# NOMBRE_UNICO|DIRECTOR|ACTOR_PRINCIPAL
#
# Ejemplo:
# ALIEN ROMULUS|Fede Álvarez|Cailee Spaeny; David Jonsson
# BEETLEJUICE BEETLEJUICE|Tim Burton|Michael Keaton; Winona Ryder
#
# NOTAS:
# - Si no se encuentra información, dejar el campo vacío después del |
# - Múltiples actores separados por punto y coma (;)
# - Múltiples directores separados por punto y coma (;)
# - Mantener los nombres únicos exactamente como aparecen en la lista original
#
# ================================================================
# INFORMACIÓN RECOLECTADA (COPIAR Y PEGAR AQUÍ):
# ================================================================
NOMBRE_UNICO,DIRECTOR,ACTOR_PRINCIPAL 
 FICG SEEDS: Brittany Snow, 

 FICG SIEMPRE VUELVEN: Marcelo Lordello, 

 FICG SOBRE LAS OLAS: Horacio Alcalá, 

 FICG SONHAR COM LEÕES: Paolo Marinou-Blanco, 

 FICG SPACE CADET: Liz W. Garcia, Emma Roberts 

 FICG TARDES DE SOLEDAD: Albert Serra, 

 FICG THE MOUNTAIN WON T MOVE: Frédéric Guillaume, 

 FICG THE SHEPHERD AND THE BEAR: Miloslav Luther, 

 FICG TIGUERE: José María Cabral, 

 FICG TRÁS OS MONTES: António Reis & Margarida Cordeiro, 

 FICG UM ADEUS PORTUGUÊS: João Botelho, 

 FICJM AMÉRICA: Ofir Raul Graizer, 

 FICJM CORRIENDO EN LA ARENA: Gabor Csupo, 

 FICJM ESCUCHA: Ana Rocha de Sousa, 

 FICJM LA HISTORIA DE ANNETTE: Vicente Villanueva, 

 FICJM LA PROMESA DE IRENE: Louise Archambault, Sophie Nélisse 

 FICJM LO QUE NO SE HABLÓ: Ángeles Cruz, 

 FICM 1992: Ariel Winograd, 

 FICM A REAL PAIN: Jesse Eisenberg, Jesse Eisenberg 

 FICM CONCLAVE: Edward Berger, Ralph Fiennes 

 FLOW: Gints Zilbalodis, 

 FLOW BR: Gints Zilbalodis, 

 FLOW OV: Gints Zilbalodis, 

 FLOW SJ OV: Gints Zilbalodis, 

 FRONTERA INVISIBLE: Alejandro Small, 

 FTM CORAZÓN EN JUEGO: Frank Ariza, 

 FTM CÓMO SER MILLONARIO ANTES QUE MUERA LA ABUELA: Pat Boonnitipat, Putthipong Assaratanakul 

 FTM DESPIERTA MAMÁ: Arianne Benedetti, 

 FTM DESVANECIDO: Tim Brown, 

 FTM EL ABUELO LLEGÓ: César Cotelo, 

 FTM EL DIABLO A LOS OJOS: Davo scrib, 

 FTM EL HIJO DE SU PADRE: Jiajie Yu Yan, 

 FTM EL MARAVILLOSO MAGO DE OZ: Victor Fleming, Judy Garland 

 FTM LAS HIJAS DEL VIENTO: Javier Balaguer, 

 FTM LO QUE DICE EL CORAZÓN: David Nixon, 

 FTM NOSOTROS LOS DE LA FE: Julio Roman, 

 FTM RAISING THE BAR THE ALMA RICHARDS STORY: D.W. Richards, 

 FTM REFLEJOS EN EL TIEMPO: Stiles White, 

 FTM SIEMPRE HABRÁ UN MAÑANA: Paola Cortellesi, Paola Cortellesi 

 G I DLE WORLD TOUR IDOL IN: , (G)I-DLE 

 G I DLE WORLD TOUR IDOL IN CINEMAS: , (G)I-DLE 

 GLADIADOR II BR: Ridley Scott, Paul Mescal 

 GO WILD ATARASHII GAKKO LA PELÍCULA: , Atarashii Gakko! 

 GOODBYE HORSES LAS MUCHAS VIDAS DE Q LAZZARUS: Alex Steyermark, 

 GRAN CICLÓN: Herbert James, 

 GRAN VIAJE DE TU VIDA: Miguel Ángel Tobías, 

 GUNDAM GQUUUUUUX EL INICIO: Yoshiyuki Tomino, 

 HANS ZIMMER FRIENDS DIAMOND IN THE DESER: , Hans Zimmer 

 HANS ZIMMER FRIENDS DIAMOND IN THE DESERT: , Hans Zimmer 

 HAZ QUE REGRESE: Vadhir Derbez, Vadhir Derbez 

 HERENCIA SINIESTRA: Julio César Estrada, 

 HERMANASTRA FEA: Jennifer Kaytin Robinson, Camila Mendes 

 HIJAS DEL MAGUEY: Tania Hernández Velasco, 

 HIJO DEL DIABLO: JJ Geier, 

 HIJOS DEL EXORCISMO: Norbert Keil, 

 HOLA FRIDA: Karla Castañeda, 

 HOLDING BACK THE YEARS 40 YEARS OF SIMPLY: , Simply Red 

 HOMBRE LOBO BR: Leigh Whannell, Christopher Abbott 

 HORA DE LA DESAPARICIÓN BR: Brad Anderson, Hayden Christensen 

 HURRY UP TOMORROW MÁS ALLÁ DE LOS REFLECTO: Trey Edward Shults, The Weeknd 

 HURRY UP TOMORROW MÁS ALLÁ DE LOS REFLECTORES: Trey Edward Shults, The Weeknd 

 HYBE CINEMA NORAEBANG: , 

 IMAGINE DRAGONS EN VIVO DESDE: , Imagine Dragons 

 IMAGINE DRAGONS LIVE FROM THE HOLLYWOOD BOWL: , Imagine Dragons 

 INFIERNO EN EL PANTANO: Richard Boddington, 

 INFILTRADA: Stéphane Cazes, 

 INSTINTO MATERNO: Benoît Delhomme, Anne Hathaway 

 INTERESTELAR DIG: Christopher Nolan, Matthew McConaughey 

 INVASIÓN ZOMBIE HIJOS DEL APOCALIPSIS: Elias Matar, 

 INVENCIBLE UN NIÑO FUERA DE SERIE: Mark Polonia, 

 IU CONCERT THE WINNING: , IU 

 IVE THE 1ST WORLD TOUR EN CINES: , IVE 

 J HOPE TOUR HOPE ON THE STAGE: , J-Hope 

 J HOPE TOUR HOPE ON THE STAGE IN JAPAN: , J-Hope 

 J HOPE TOUR HOPE ON THE STAGE LIVE VIEWING OV: , J-Hope 

 JOYLAND LA TIERRA DE LOS SUEÑOS: Saim Sadiq, Ali Junejo 

 JUICIO DE UN PERRO: Gorman Bechard, 

 JUJUTSU KAISEN EL TESORO ESCONDIDO EL TE: Shōta Goshozono, 

 JUJUTSU KAISEN EL TESORO ESCONDIDO EL TE BR: Shōta Goshozono, 

 JUJUTSU KAISEN EL TESORO ESCONDIDO EL TESORO: Shōta Goshozono, 

 JUNE Y JOHN: David Lynch, 

 JURASSIC WORLD RENACE BR: Gareth Edwards, Scarlett Johansson 

 JURASSIC WORLD RENACE FES: Gareth Edwards, Scarlett Johansson 

 KARATE KID LEYENDAS BR: Jonathan Entwistle, Ben Wang 

 KARATE KID LEYENDAS FINA: Jonathan Entwistle, Ben Wang 

 KARATE KID LEYENDAS FINB: Jonathan Entwistle, Ben Wang 

 KARATE KID LEYENDAS LED: Jonathan Entwistle, Ben Wang 

 KARATE KID LEYENDAS SJ: Jonathan Entwistle, Ben Wang 

 KARUARA LA GENTE DEL RÍO: Cristóbal Sotomayor, 

 KAYARA EL CORAZÓN DE LOS ANDES: César Zelada, 

 KAYARA EL CORAZÓN DE LOS ANDES SJ: César Zelada, 

 KAYARA LA PRINCESA INCA: César Zelada, 

 KAYARA LA PRINCESA INCA SJ: César Zelada, 

 KENIA OS LA OG: , Kenia Os 

 KENIA OS LA OG BR: , Kenia Os 

 KRAVEN EL CAZADOR BR: J.C. Chandor, Aaron Taylor-Johnson 

 KYGO 2025 BACK AT THE BOWL: , Kygo 

 KYGO BACK AT THE BOWL: , Kygo 

 LEONORA: Gibrán Bazán, 

 LEYENDA DEL DRAGÓN SJ: Li Jianping, 

 LILO LILO COCODRILO: Will Speck & Josh Gordon, Shawn Mendes 

 LILO STITCH: Dean Fleischer Camp, Maia Kealoha 

 LILO STITCH SJ: Dean Fleischer Camp, Maia Kealoha 

 LILO Y STITCH: Dean Fleischer Camp, Maia Kealoha 

 LILO Y STITCH BR: Dean Fleischer Camp, Maia Kealoha 

 LILO Y STITCH FINB: Dean Fleischer Camp, Maia Kealoha 

 LILO Y STITCH SJ: Dean Fleischer Camp, Maia Kealoha 

 LO QUE DICE EL CORAZÓN: David Nixon, 

 LOONEY TUNES EL DÍA QUE LA TIERRA EXPLOTÓ: Pete Browngardt, Eric Bauza 

 LOONEY TUNES EL DÍA QUE LA TIERRA EXPLOTÓ BR: Pete Browngardt, Eric Bauza 

 LOONEY TUNES EL DÍA QUE LA TIERRA EXPLOTÓ SJ: Pete Browngardt, Eric Bauza 

 LOONEY TUNES EL DÍA QUE LA TIERRA FINA: Pete Browngardt, Eric Bauza 

 M3GAN 2 0 BR: Gerard Johnstone, Allison Williams 

 MAMÁ REINVENTADA: Matthew Johnson, 

 MAMÁ REINVENTADA BR: Matthew Johnson, 

 MARAVILLOSO MAGO DE OZ: Victor Fleming, Judy Garland 

 MARIA CALLAS: Tom Volf, 

 MARS EXPRESS: Jérémie Périn, 

 MARÍA CALLAS: Tom Volf, 

 MASCOTA JURÁSICA 3 VIAJE A LA PREHISTORIA: Ryan Bellgardt, 

 MASCOTAS EN APUROS: Reinhard Klooss, 

 MASCOTAS EN APUROS SJ: Reinhard Klooss, 

 MASTERCHEF CELEBRITY GENERACIONES GRAN FIN: , 

 MEGATORMENTA: Peter Geiger, 

 MEMORIAS DE UN CARACOL: Adam Elliot, 

 MEMORY UN RECUERDO INCOMPLETO: Michel Franco, Jessica Chastain 

 MESA DE REGALOS: Roberto Sneider, 

 MESA DE REGALOS BR: Roberto Sneider, 

 MICKEY 17: Bong Joon-ho, Robert Pattinson 

 MICKEY 17 BR: Bong Joon-ho, Robert Pattinson 

 MICKEY 17 LED: Bong Joon-ho, Robert Pattinson 

 MICMX ARILLO DE HOMBRE MUERTO: Alejandro Gerber Bicecci, 

 MICMX CONCIERTO PARA OTRAS MANOS: Cristóbal Cruz, 

 MICMX CORTOMETRAJES DE FICCIÓN MX: , 

 MICMX HOMBRES ÍNTEGROS: Alejandro Andrade, 

 MICMX LIFTING: David Castro, 

 MICMX PARTIDA: Diego Ozuna, 

 MICMX PRIMERA PERSONA: Máximo Hollander, 

 MICMX ROSINANTE: Olmo Guerra, 

 MICMX SONG OF THE LAST LACANDON HOLY MAN: Nicolas Défossé, 

 MICMX SOY LO QUE NUNCA FUI: America Maldonado, 

 MICMX VOZ VIAJANTE: Constanza Valerio, 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 1: , 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 2: , 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 3: , 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 4: , 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 5: , 

 MIG XII MUESTRA INTERGALÁCTICA DÍA 6: , 

 MIJARES SINFÓNICO CELEBRA EL AMOR: , Mijares 

 MIRACULOUS LAS AVENTURAS DE LADYBUG Y CAT SJ: Jeremy Zag, 

 MIRREYES VS GODÍNEZ LAS VEGAS BR: Chava Cartas, Regina Blandón 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL BR: Christopher McQuarrie, Tom Cruise 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL FINA: Christopher McQuarrie, Tom Cruise 

 MISIÓN IMPOSIBLE SENTENCIA BR: Christopher McQuarrie, Tom Cruise 

 MISIÓN IMPOSIBLE SENTENCIA MORTAL P 1: Christopher McQuarrie, Tom Cruise 

 MIX ALMA DEL DESIERTO: Mónica Álvarez Franco, 

 MIX ARRUINARLO TODO: Andrea Rovira, 

 MIX BREVE HISTORIA DE UN BREVE DRAG: Fausto Estrada, 

 MIX CORTOS PANORAMA PROGRAMA 2: , 

 MIX DETRANS DE MÍ: Issa López, 

 MIX HOMBRES ÍNTEGROS: Alejandro Andrade, 

 MIX LA RED: Tonatiuh Loza, 

 MIX LLÁMAME AGNES: Aglaja Veteranyi, 

 MIX LO QUE ESCRIBIMOS JUNTOS: Valeria Stucki, 

 MIX MEMORABILIA: Pedro de Filippis, 

 MIX MI NOVIO EL FASCISTA: Roberta Torre, 

 MIX SANDBAG DAM: Jamie M. Dagg, 

 MIX SER MIKOLAJ: Krzysztof Chodorowski, 

 MIX SOY LO QUE NUNCA FUI: America Maldonado, 

 MIX SPEAKING OUT: Bárbara Lago, 

 MIX TODO LO QUE SIEMPRE QUISIMOS: Luis Murillo Arias, 

 MIX VIH LA CAUSA JUSTA: Richie Alvarez, 

 MOANA 2: Dave Derrick Jr., Auliʻi Cravalho 

 MOANA 2 BR: Dave Derrick Jr., Auliʻi Cravalho 

 MOANA 2 FINA: Dave Derrick Jr., Auliʻi Cravalho 

 MOANA 2 FINB: Dave Derrick Jr., Auliʻi Cravalho 

 MTV UNPLUGGED LOS BUNKERS: , Los Bunkers 

 MUERTE DE UN UNICORNIO: Alex Scharfman, Paul Rudd 

 MUFASA EL REY LEÓN BR: Barry Jenkins, Aaron Pierre 

 MUFASA EL REY LEÓN FES: Barry Jenkins, Aaron Pierre 

 MUFASA EL REY LEÓN FINA: Barry Jenkins, Aaron Pierre 

 MUFASA EL REY LEÓN FINB: Barry Jenkins, Aaron Pierre 

 MUFASA EL REY LEÓN SJ: Barry Jenkins, Aaron Pierre 

 MUJERES DEL ALBA: Jimena Montemayor Loyo, 

 MY HERO ACADEMIA AHORA ES TU TURNO: Kenji Nagasaki, 

 MÉDIUM: Cristina Gallego & Ciro Guerra, 

 NADIE: Ilya Naishuller, Bob Odenkirk 

 NADIE 2 BR: Timo Tjahjanto, Bob Odenkirk 

 NCT DREAM MYSTERY LAB DREAM SCAPE EN CIN: , NCT Dream 

 NCT DREAM MYSTERY LAB DREAM SCAPE EN CINES: , NCT Dream 

 NIKO LA AVENTURA DE LAS NARICES FRÍAS: Kari Juusonen & Jørgen Lerdam, 

 NIKO LA AVENTURA DE LAS NARICES FRÍAS SJ: Kari Juusonen & Jørgen Lerdam, 

 NIKO LAS AVENTURAS DE LAS NARICES FRÍAS: Kari Juusonen & Jørgen Lerdam, 

 NIKO LAS AVENTURAS DE LAS NARICES FRÍAS SJ: Kari Juusonen & Jørgen Lerdam, 

 NO HAGAS OLAS: Alexander Mackendrick, Tony Curtis 

 NOCHE DE LOS HOMBRES LOBO: François Uzan, Jean Reno 

 NOVICIA REBELDE 60 ANIVERSARIO: Robert Wise, Julie Andrews 

 NOVOCAINE SIN DOLOR BR: Dan Berk & Robert Olsen, Jack Quaid 

 ODISEA EL REGRESO: Uberto Pasolini, Ralph Fiennes 

 ONE DIRECTION ASI SOMOS: Morgan Spurlock, One Direction 

 ONE DIRECTION ASÍ SOMOS: Morgan Spurlock, One Direction 

 OPERACIÓN PANDA MISIÓN RESCATE SJ: Vasily Rovenskiy, 

 OTRO VIERNES DE LOCOS BR: Nisha Ganatra, Jamie Lee Curtis 

 OTRO VIERNES DE LOCOS FINB: Nisha Ganatra, Jamie Lee Curtis 

 PADDINGTON AVENTURA EN LA SELVA SJ: Dougal Wilson, Ben Whishaw 

 PADDINGTON EN PERÚ SJ: Dougal Wilson, Ben Whishaw 

 PAISAJES: Paul Urkijo Alijo, 

 PARANORMAN REMASTERIZADO: Chris Butler & Sam Fell, 

 PARTHENOPE LOS AMORES DE NÁPOLES: Paolo Sorrentino, Celeste Dalla Porta 

 PASANTE DE MODA 10 ANIVERSARIO: Nancy Meyers, Robert De Niro 

 PATASOLA CAZA INFIELES: Ersain Hidalgo, 

 PAW PATROL LA SÚPER PELÍCULA: Cal Brunker, 

 PECADORES: B. Harrison Smith, 

 PELÍCULA DE MINECRAFT BR: Jared Hess, Jason Momoa 

 PELÍCULA DE MINECRAFT FINA: Jared Hess, Jason Momoa 

 PELÍCULA DE MINECRAFT FINB: Jared Hess, Jason Momoa 

 PELÍCULA DE MINECRAFT SJ: Jared Hess, Jason Momoa 

 PEQUEÑA: Lucía Carreras, 

 PEQUEÑA CONFUSIÓN: A.T. White, 

 PEREZ OSOS: Juan Carlos Cremata Malberti, 

 PEREZ OSOS SJ: Juan Carlos Cremata Malberti, 

 PITUFOS FINB: Chris Miller, 

 PITUFOS SJ: Chris Miller, 

 PLAN DEL ASESINO: Daniel Benmayor, Mario Casas 

 PRINCE SIGN O THE TIMES: Prince, Prince 

 PUENTE EN LLAMAS: Isaac Florentine, Dolph Lundgren 

 PÉREZ OSOS: Juan Carlos Cremata Malberti, 

 PÉREZ OSOS SJ: Juan Carlos Cremata Malberti, 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 1: , 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 3: , 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 4: , 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 5: , 

 QFF QUEER FILM FESTIVAL SELECCIÓN OFICIAL 6: , 

 QUÉ HUEVOS SOFÍA: Marlon Moreno, Mónica Huarte 

 QUÉ HUEVOS SOFÍA BR: Marlon Moreno, Mónica Huarte 

 RE ANTES DEL AMANECER: Richard Linklater, Ethan Hawke 

 RE DC LIGA DE SUPERMASCOTAS: Jared Stern, Dwayne Johnson 

 RE DEMON SLAYER EL TREN INFINITO: Haruo Sotozaki, 

 RE DEMON SLAYER MUGEN TRAIN: Haruo Sotozaki, 

 RE EL CONJURO 3 EL DIABLO ME OBLIGÓ A HACERLO: Michael Chaves, Patrick Wilson 

 RE LA MOMIA 25 ANIVERSARIO: Stephen Sommers, Brendan Fraser 

 RE PULP FICTION: Quentin Tarantino, John Travolta 

 RE STAR WARS III LA VENGANZA DE LOS SITHS: George Lucas, Ewan McGregor 

 RE STAR WARS III LA VENGANZA DE SITH: George Lucas, Ewan McGregor 

 RE TIBURÓN: Steven Spielberg, Roy Scheider 

 RE YANA WARA: Tito Catacora, 

 RECUERDOS DEL AYER: Isao Takahata, 

 RED VELVET HAPPINESS DIARY MY DEAR REVE1UV: , Red Velvet 

 RESCATE IMPLACABLE BR: Mabrouk El Mechri, Henry Cavill 

 RIESGO BAJO CERO: Jonathan Hensleigh, Liam Neeson 

 RM LA GENTE ADECUADA EN EL LUGAR EQUIVOCADO: , RM 

 RM RIGHT PEOPLE WRONG PLACE: , RM 

 ROBIN EL POSEÍDO: Robin Entreinger, 

 ROBOT SALVAJE: Chris Sanders, Lupita Nyong'o 

 ROBOT SALVAJE SJ: Chris Sanders, Lupita Nyong'o 

 ROSARIO HERENCIA MALDITA: Homero Bueno, 

 ROSES BR: Lluís Danés, 

 RUNSEOKJIN EP TOUR EN VIVO DESDE AMSTERDAM: , 

 RUNSEOKJIN_EP TOUR GLOBAL LIVE VIEWING OV: , 

 RYAN GARCIA VS ROLLY ROMERO ORI: , Ryan Garcia 

 SATURDAY NIGHT LA NOCHE QUE CAMBIÓ LA COME: Jason Reitman, Gabriel LaBelle 

 SEPTIEMBRE 5: Tim Fehlbaum, Peter Sarsgaard 

 SEVENTEEN RIGHT HERE WORLD: , SEVENTEEN 

 SEVENTEEN RIGHT HERE WORLD TOUR: , SEVENTEEN 

 SEVENTEEN RIGHT HERE WORLD TOUR EN: , SEVENTEEN 

 SEVENTEEN RIGHT HERE WORLD TOUR EN CINES: , SEVENTEEN 

 SEVENTEEN TOUR FOLLOW NUEVAM: , SEVENTEEN 

 SEVENTEEN WORLD TOUR BE THE SUN: , SEVENTEEN 

 SEÑOR DE LOS ANILLOS EL RETORNO DEL REY: Peter Jackson, Elijah Wood 

 SEÑOR DE LOS ANILLOS GUERRA ROHIRRIM: Kenji Kamiyama, Brian Cox 

 SEÑOR DE LOS ANILLOS LA GUERRA DE LOS BR: Kenji Kamiyama, Brian Cox 

 SFF 2000 METERS TO ANDRIIVKA: Anton Shtuka, 

 SFF DJ AHMET: Georgi M. Unkovski, 

 SFF FUNCIÓN ESPECIAL ABEL: Diego Luna, Christopher Ruíz-Esparza 

 SFF FUNCIÓN ESPECIAL LA LEY DE HERODES: Luis Estrada, Damián Alcázar 

 SFF LURKER: Alex Russell, 

 SFF MALU: Pedro Freire, 

 SFF MR NOBODY AGAINST PUTIN: David Borenstein, 

 SFF ONE TO ONE JOHN YOKO: Kevin Macdonald, 

 SFF PLAINCLOTHES: Oren Gerner, 

 SFF PRIME MINISTER: David Wexler, 

 SFF PROGRAMA DE CORTOS: , 

 SFF SALLY: Cristina Costantini, 

 SFF SELENA Y LOS DINOS: Gregory Nava, Jennifer Lopez 

 SFF SESIÓN Q A 2000 METERS TO ANDRIIVKA: , 

 SFF SESIÓN Q A DJ AHMET: , 

 SFF SESIÓN Q A GEN_: , 

 SFF SESIÓN Q A LURKER: , 

 SFF SESIÓN Q A MR NOBODY AGAINST PUTIN: , 

 SFF SESIÓN Q A ONE TO ONE JOHN YOKO: , 

 SFF SESIÓN Q A PLAINCLOTHES: , 

 SFF SESIÓN Q A PRIME MINISTER: , 

 SFF SESIÓN Q A PROGRAMA DE CORTOS: , 

 SFF SESIÓN Q A SELENA Y LOS DINOS: , 

 SFF SESIÓN Q A THE DATING GAME: , 

 SFF SESIÓN Q A THE VIRGIN OF THE QUARRY LAKE: , 

 SFF SESIÓN Q A TOGETHER: , 

 SFF SESIÓN Q A TWINLESS: , 

 SFF THE DATING GAME: Anna Kendrick, Anna Kendrick 

 SFF THE UGLY STEPSISTER: Emilie Blichfeldt, 

 SFF THE VIRGIN OF THE QUARRY LAKE: Laura Casabé, 

 SFF TWINLESS: James Sweeney, 

 SIEMPRE HABRÁ UN MAÑANA: Paola Cortellesi, Paola Cortellesi 

 SIKANDAR: A.R. Murugadoss, Salman Khan 

 SKETCH DIBUJOS ANIMADOS: Seth Worley, 

 SNEAKS UN PAR CON SUERTE SJ: Rob Edwards, 

 SOBREVIVIENTE LA CAÍDA DEL VUELO 811: Pasha Patriki, 

 SOLO LEVELING SEGUNDO DESPERTAR: Shunsuke Nakashige, 

 SOLTERA CODICIADA 2: Joanna Lombardi, Gisela Ponce de León 

 SONIC 3 LA PELÍCULA BR: Jeff Fowler, Ben Schwartz 

 SONIC 3 LA PELÍCULA SJ: Jeff Fowler, Ben Schwartz 

 SONIC LA PELÍCULA: Jeff Fowler, Ben Schwartz 

 STANS EMINEM SUS GRANDES FANS: Steven Leckart, 

 STAR WARS EPISODIO III LA VENGANZA DE FES: George Lucas, Ewan McGregor 

 STRAIGHT: Marcel Gisler, 

 STRAIGHT CUÁL ES TU SECRETO: Marcel Gisler, 

 SUBMARINITOS: Elly Mackay, 

 SUBMARINITOS SJ: Elly Mackay, 

 SUPERMAN BR: James Gunn, David Corenswet 

 SUPERNOVA STRIKERS AMIGO: Young-Soo, 

 SUSTANCIA: Coralie Fargeat, Demi Moore 

 TAEYONG TY TRACK IN CINEMAS: , Taeyong 

 TCF CUANDO LLEGA EL OTOÑO: Jean-Jacques Annaud, 

 TCF LA MAESTRA VIOLET: Léa Pool, 

 TCF LOS LAZOS QUE NOS UNEN: Roschdy Zem, 

 TCF RODRIGO ENAMORADO: Juan Ibáñez, 

 TCF UN TOQUE DE AMOR: Guillaume Canet, 

 TEARS FOR FEARS LIVE A TIPPING POINT FILM: , Tears for Fears 

 TERREMOTO 8 5 GRADOS: John Andreas Andersen, 

 TERREMOTO MAGNITUD 9 0: Kim Ji-hoon, 

 TERRIFIER 3 PAYASO SINIESTRO: Damien Leone, David Howard Thornton 

 THUNDERBOLTS BR: Jake Schreier, Florence Pugh 

 THUNDERBOLTS FES: Jake Schreier, Florence Pugh 

 THUNDERBOLTS FINA: Jake Schreier, Florence Pugh 

 TIBURÓN BLANCO ATAQUE FINAL: James Nunn, 

 TIPOS MALOS 2 BR: Pierre Perifel, Sam Rockwell 

 TIPOS MALOS 2 FINB: Pierre Perifel, Sam Rockwell 

 TOMORROW X TOGETHER WORLD TOUR: , Tomorrow X Together 

 TOMORROW X TOGETHER WORLD TOUR SWEET MIRAGE: , Tomorrow X Together 

 TORTUGA ROJA: Michaël Dudok de Wit, 

 TOY STORY 30 ANIVERSARIO: Lee Unkrich, Tom Hanks 

 TOY STORY 30 ANIVERSARIO SJ: Lee Unkrich, Tom Hanks 

 TRAMPA DEL RATÓN: Kike Maíllo, 

 TRANSFORMERS UNO SJ: Josh Cooley, Chris Hemsworth 

 TRATADO DE INVISIBILIDAD: Lucía Feijóo, 

 TRIVIA NIGHT BY CINÉPOLIS Y CAPITÁN AMÉRICA: , 

 TUMBA DE LAS LUCIÉRNAGAS: Isao Takahata, 

 TÉTANO: Salomé Lamas, 

 UNTIL DOWN NOCHE DE TERROR: David F. Sandberg, Ella Rubin 

 VAMPIRA HUMANISTA BUSCA SUICIDA: Ariane Louis-Seize, Sara Montpetit 

 VELADA CON DUA LIPA: , Dua Lipa 

 VENGANZA DE CENICIENTA: Louisa Warren, 

 VIDA EN GRIS: Lasse Hallström, 

 VIDAS DE SING SING: Greg Kwedar, Colman Domingo 

 VIENES O ME VOY: Frank Ariza, Dani Rovira 

 WARNING EN VIVO DESDE EL AUDITORIO NAC: , 

 WICKED SING ALONG: Jon M. Chu, Cynthia Erivo 

 YO VI TRES LUCES NEGRAS: Santiago Lozano Álvarez, 

 YUNGBLUD ARE YOU READY BOY: , Yungblud 

 YUNGBLUD ARE YOU READY BOY EN CINES: , Yungblud 

 ZAK Y WOWO LA LEYENDA DE LENDARYS: Philippe Duchêne, 

 ZERO BASE ONE TIMELESS WORLD: , ZEROBASEONE 

 ZEROBASEONE THE FIRST TOUR TIMELESS: , ZEROBASEONE 

 ZEROBASEONE THE FIRST TOUR TIMELESS WORLD: , ZEROBASEONE 

 ZEROBASEONE THE FIRST TOUR TIMELESS WORLD IN: , ZEROBASEONE 

 ÁGUILA Y EL GUSANO: Guita Schyfter, 

 ÚLTIMA CENA: Dallas Jenkins, Jonathan Roumie 

 ÚLTIMO RODEO: Conor Allyn, Scott Eastwood 

 ÚLTIMO VIAJE FINB: Anna Marsh, 

 200 LOBO SJ: Rodrigo "Lobo" Courdurier, 

 2023 WEVERSE CON FESTIVAL: , 

 4 FANTÁSTICOS PRIMEROS PASOS: Matt Shakman, Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS BR: Matt Shakman, Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS LED: Matt Shakman, Pedro Pascal 

 ABUELA: Paco Plaza, Almudena Amor 

 ALUVIÓN: Alejandro Nieto Polo, 

 AMATEUR OPERACIÓN VENGANZA: James Hawes, Rami Malek 

 AMB BUSCANDO A SUGAR MAN: Malik Bendjelloul, 

 AMB CASSANDRO EL EXÓTICO: Roger Ross Williams, Gael García Bernal 

 AMB EL ACTO DE MATAR: Joshua Oppenheimer, 

 AMB KAMAY: Sharofat Arabova, 

 AMB LA IMAGEN AUSENTE: Rithy Panh, 

 AMB LOS SUEÑOS QUE COMPARTIMOS: Valentina Pelayo, 

 AMB PEACHES GOES BANANAS: Marie Losier, 

